# 0.843451
LHPLU	0	1	0	0	5	null	UCVCLVrIVICIV	ITEM/0.854914
SEC.	0	0	1	0	4	6	YELLOW	PRICE/0.855200
YELLOW	0	1	0	0	6	SEC.	CLASS.	DES/0.972758
CLASS.	0	0	0	0	6	YELLOW	FOLDERS	DES/0.923238
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.993000
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990962
10/EA	0	0	0	0	5	-	$	PRICE/0.641600
$	0	0	0	1	1	10/EA	18.95	DES/0.879759
18.95	1	0	0	1	5	$	.	PRICE/0.951959

# 0.260123
EVEEN91	0	0	1	0	7	.	BX	ITEM/0.705201
BX	0	1	0	0	2	EVEEN91	BATTERY,	UM/0.857277
BATTERY,	0	0	0	0	8	BX	AA	DES/0.982001
AA	0	1	0	0	2	BATTERY,	-	UM/0.595745
-	0	0	0	0	1	AA	24/EA	DES/0.953726
24/EA	0	0	0	0	5	-	$	PRICE/0.920801
$	0	0	0	1	1	24/EA	10.85	DES/0.879759
10.85	1	0	0	1	5	$	.	PRICE/0.951959

# 0.406658
EVEEN92	0	0	1	0	7	.	BX	ITEM/0.705201
BX	0	1	0	0	2	EVEEN92	BATTERY,	UM/0.906909
BATTERY,	0	0	0	0	8	BX	AAA	DES/0.970209
AAA	0	1	0	0	3	BATTERY,	-	DES/0.990494
-	0	0	0	0	1	AAA	24/EA	DES/0.985844
24/EA	0	0	0	0	5	-	$	PRICE/0.801393
$	0	0	0	1	1	24/EA	10.50	DES/0.879759
10.50	1	0	0	1	5	$	.	PRICE/0.951959

# 0.470176
EVEEN93	0	0	1	0	7	.	BX	ITEM/0.705201
BX	0	1	0	0	2	EVEEN93	BATTERY,	UM/0.905413
BATTERY,	0	0	0	0	8	BX	SIZE	DES/0.998136
SIZE	0	1	0	0	4	BATTERY,	C	DES/0.950084
C	0	1	0	0	1	SIZE	-	DES/0.977784
-	0	0	0	0	1	C	12/EA	DES/0.988823
12/EA	0	0	0	0	5	-	$	PRICE/0.904114
$	0	0	0	1	1	12/EA	7.99	DES/0.914533
7.99	1	0	0	1	4	$	.	PRICE/0.971328

# 0.469375
EVEEN95	0	0	1	0	7	.	BX	ITEM/0.705201
BX	0	1	0	0	2	EVEEN95	BATTERY,	UM/0.905413
BATTERY,	0	0	0	0	8	BX	SIZE	DES/0.998136
SIZE	0	1	0	0	4	BATTERY,	D	DES/0.950084
D	0	1	0	0	1	SIZE	-	DES/0.977784
-	0	0	0	0	1	D	12/EA	DES/0.989058
12/EA	0	0	0	0	5	-	$	PRICE/0.918238
$	0	0	0	1	1	12/EA	9.99	DES/0.895340
9.99	1	0	0	1	4	$	.	PRICE/0.974992

# 0.303482
AVE05705	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05705	BINDER,	UM/0.760492
BINDER,	0	0	0	0	7	EA	1/2",	DES/0.987391
1/2",	0	0	0	0	5	BINDER,	BLACK	DES/0.693809
BLACK	0	1	0	0	5	1/2",	VIEW	DES/0.991786
VIEW	0	1	0	0	4	BLACK	$	UM/0.633810
$	0	0	0	1	1	VIEW	2.34	DES/0.980775
2.34	1	0	0	1	4	$	.	PRICE/0.992544

# 0.303482
AVE05706	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05706	BINDER,	UM/0.760492
BINDER,	0	0	0	0	7	EA	1/2",	DES/0.987391
1/2",	0	0	0	0	5	BINDER,	WHITE	DES/0.693809
WHITE	0	1	0	0	5	1/2",	VIEW	DES/0.991786
VIEW	0	1	0	0	4	WHITE	$	UM/0.633810
$	0	0	0	1	1	VIEW	2.34	DES/0.980775
2.34	1	0	0	1	4	$	.	PRICE/0.992544

# 0.490684
AVE05710	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05710	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	1",	DES/0.958047
1",	0	0	0	0	3	BINDER,	BLACK	DES/0.989337
BLACK	0	1	0	0	5	1",	VIEW	DES/0.987565
VIEW	0	1	0	0	4	BLACK	$	UM/0.741851
$	0	0	0	1	1	VIEW	2.79	DES/0.980775
2.79	1	0	0	1	4	$	.	PRICE/0.992544

# 0.448582
AVE05711	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05711	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	1",	DES/0.958047
1",	0	0	0	0	3	BINDER,	WHITE	DES/0.941783
WHITE	0	1	0	0	5	1",	$	DES/0.728312
$	0	0	0	1	1	WHITE	2.79	DES/0.951741
2.79	1	0	0	1	4	$	.	PRICE/0.988096

# 0.303482
AVE05725	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05725	BINDER,	UM/0.760492
BINDER,	0	0	0	0	7	EA	1.5",	DES/0.987391
1.5",	0	0	0	0	5	BINDER,	BLACK	DES/0.693809
BLACK	0	1	0	0	5	1.5",	VIEW	DES/0.991786
VIEW	0	1	0	0	4	BLACK	$	UM/0.633810
$	0	0	0	1	1	VIEW	4.25	DES/0.980775
4.25	1	0	0	1	4	$	.	PRICE/0.992544

# 0.303825
AVE05726	0	0	1	0	8	.	EA	ITEM/0.955201
EA	0	1	0	0	2	AVE05726	BINDER,	UM/0.758654
BINDER,	0	0	0	0	7	EA	1.5",	DES/0.987426
1.5",	0	0	0	0	5	BINDER,	WHITE	DES/0.693878
WHITE	0	1	0	0	5	1.5",	VIEW	DES/0.991786
VIEW	0	1	0	0	4	WHITE	$	UM/0.633810
$	0	0	0	1	1	VIEW	4.25	DES/0.980775
4.25	1	0	0	1	4	$	.	PRICE/0.992544

# 0.490684
AVE05730	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05730	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	2",	DES/0.958047
2",	0	0	0	0	3	BINDER,	BLACK	DES/0.989337
BLACK	0	1	0	0	5	2",	VIEW	DES/0.987565
VIEW	0	1	0	0	4	BLACK	$	UM/0.741851
$	0	0	0	1	1	VIEW	4.25	DES/0.980775
4.25	1	0	0	1	4	$	.	PRICE/0.992544

# 0.490684
AVE05731	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05731	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	2",	DES/0.958047
2",	0	0	0	0	3	BINDER,	WHITE	DES/0.989337
WHITE	0	1	0	0	5	2",	VIEW	DES/0.987565
VIEW	0	1	0	0	4	WHITE	$	UM/0.741851
$	0	0	0	1	1	VIEW	3.56	DES/0.980775
3.56	1	0	0	1	4	$	.	PRICE/0.992544

# 0.490684
AVE05740	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05740	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	3",	DES/0.958047
3",	0	0	0	0	3	BINDER,	BLACK	DES/0.989337
BLACK	0	1	0	0	5	3",	VIEW	DES/0.987565
VIEW	0	1	0	0	4	BLACK	$	UM/0.741851
$	0	0	0	1	1	VIEW	6.99	DES/0.980775
6.99	1	0	0	1	4	$	.	PRICE/0.992544

# 0.490684
AVE05741	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE05741	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	3",	DES/0.958047
3",	0	0	0	0	3	BINDER,	WHITE	DES/0.989337
WHITE	0	1	0	0	5	3",	VIEW	DES/0.987565
VIEW	0	1	0	0	4	WHITE	$	UM/0.741851
$	0	0	0	1	1	VIEW	7.85	DES/0.980775
7.85	1	0	0	1	4	$	.	PRICE/0.992544

# 0.413467
AVE07800	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE07800	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	4",	DES/0.964643
4",	0	0	0	0	3	BINDER,	BLUE	DES/0.992764
BLUE	0	1	0	0	4	4",	VIEW	DES/0.856873
VIEW	0	1	0	0	4	BLUE	$	UM/0.729074
$	0	0	0	1	1	VIEW	16.24	DES/0.961659
16.24	1	0	0	1	5	$	.	PRICE/0.990033

# 0.490684
AVE09801	0	0	1	0	8	.	EA	ITEM/0.951945
EA	0	1	0	0	2	AVE09801	BINDER,	UM/0.762530
BINDER,	0	0	0	0	7	EA	4",	DES/0.958047
4",	0	0	0	0	3	BINDER,	WHITE	DES/0.989337
WHITE	0	1	0	0	5	4",	VIEW	DES/0.987565
VIEW	0	1	0	0	4	WHITE	$	UM/0.741851
$	0	0	0	1	1	VIEW	9.49	DES/0.980775
9.49	1	0	0	1	4	$	.	PRICE/0.992544

# 0.323561
IVR15925	0	0	1	0	8	.	EA	ITEM/0.962036
EA	0	1	0	0	2	IVR15925	CALCULATOR,	UM/0.527208
CALCULATOR,	0	0	0	0	11	EA	HANDHELD	DES/0.927768
HANDHELD	0	1	0	0	8	CALCULATOR,	$	DES/0.726031
$	0	0	0	1	1	HANDHELD	5.35	DES/0.959404
5.35	1	0	0	1	4	$	.	PRICE/0.987157

# 0.246180
AVE5870	0	0	1	0	7	.	BX	ITEM/0.564008
BX	0	1	0	0	2	AVE5870	CARDS	UM/0.876401
CARDS	0	1	0	0	5	BX	-	DES/0.995432
-	0	0	0	0	1	CARDS	WHITE	DES/0.987132
WHITE	0	1	0	0	5	-	BUSINESS	DES/0.966161
BUSINESS	0	1	0	0	8	WHITE	-	DES/0.971755
-	0	0	0	0	1	BUSINESS	2000/EA	DES/0.997127
2000/EA	0	0	0	0	7	-	$	DES/0.950142
$	0	0	0	1	1	2000/EA	116.99	DES/0.862612
116.99	1	0	0	1	6	$	.	ITEM/0.660568

# 0.254942
GEO22901	0	0	1	0	8	.	PK	ITEM/0.850680
PK	0	1	0	0	2	GEO22901	CERTIFICATE	UM/0.587140
CERTIFICATE	0	1	0	0	11	PK	PAPER	DES/0.993960
PAPER	0	1	0	0	5	CERTIFICATE	-	DES/0.962307
-	0	0	0	0	1	PAPER	25/EA	DES/0.992411
25/EA	0	0	0	0	5	-	$	PRICE/0.625188
$	0	0	0	1	1	25/EA	6.79	DES/0.892773
6.79	1	0	0	1	4	$	.	PRICE/0.963401

# 0.174321
GEO39087	0	0	1	0	8	.	PK	ITEM/0.958274
PK	0	1	0	0	2	GEO39087	CERTIFICATE,	UM/0.932450
CERTIFICATE,	0	0	0	0	12	PK	AWARD,	DES/0.981752
AWARD,	0	0	0	0	6	CERTIFICATE,	W/	DES/0.677504
W/	0	0	0	0	2	AWARD,	GOLD	DES/0.971483
GOLD	0	1	0	0	4	W/	SEAL	DES/0.922884
SEAL	0	1	0	0	4	GOLD	PAPER	DES/0.952786
PAPER	0	1	0	0	5	SEAL	-	DES/0.991971
-	0	0	0	0	1	PAPER	25/EA	DES/0.980103
25/EA	0	0	0	0	5	-	(SCHOOLS	DES/0.709084
(SCHOOLS	0	0	0	0	8	25/EA	USE	DES/0.935915
USE	0	1	0	0	3	(SCHOOLS	ONLY)	DES/0.989685
ONLY)	0	0	0	0	5	USE	$	DES/0.593004
$	0	0	0	1	1	ONLY)	4.95	DES/0.941191
4.95	1	0	0	1	4	$	.	PRICE/0.963401

# 0.110312
SOU994C	0	0	1	0	7	.	BX	ITEM/0.873020
BX	0	1	0	0	2	SOU994C	CERTIFICATE,	UM/0.975125
CERTIFICATE,	0	0	0	0	12	BX	AWARD,	DES/0.998538
AWARD,	0	0	0	0	6	CERTIFICATE,	IVORY	PRICE/0.506619
IVORY	0	1	0	0	5	AWARD,	W/	DES/0.995089
W/	0	0	0	0	2	IVORY	SILVER	DES/0.966357
SILVER	0	1	0	0	6	W/	-	DES/0.853767
-	0	0	0	0	1	SILVER	15/EA	DES/0.958067
15/EA	0	0	0	0	5	-	(SCHOOLS	DES/0.693092
(SCHOOLS	0	0	0	0	8	15/EA	USE	DES/0.936449
USE	0	1	0	0	3	(SCHOOLS	ONLY)	DES/0.989653
ONLY)	0	0	0	0	5	USE	$	DES/0.563905
$	0	0	0	1	1	ONLY)	27.99	DES/0.935958
27.99	1	0	0	1	5	$	.	PRICE/0.960584

# 0.275204
UNV40304	0	0	1	0	8	.	EA	ITEM/0.896769
EA	0	1	0	0	2	UNV40304	CLIPBOARD,	UM/0.977737
CLIPBOARD,	0	0	0	1	10	EA	8.5	DES/0.984877
8.5	1	0	0	0	3	CLIPBOARD,	X	ITEM/0.550917
X	0	1	1	0	1	8.5	11"	DES/0.924940
11"	0	0	0	0	3	X	LETTER	DES/0.981927
LETTER	0	1	0	0	6	11"	-	DES/0.956687
-	0	0	0	0	1	LETTER	BROWN	DES/0.983787
BROWN	0	1	0	0	5	-	$	DES/0.737769
$	0	0	0	1	1	BROWN	1.44	DES/0.928325
1.44	1	0	0	1	4	$	.	PRICE/0.988096

# 0.299325
UNV72210	0	0	1	0	8	.	PK	ITEM/0.866933
PK	0	1	0	0	2	UNV72210	CLIPS,	UM/0.837644
CLIPS,	0	0	0	0	6	PK	PAPER,	DES/0.779268
PAPER,	0	0	0	0	6	CLIPS,	MEDIUM	PRICE/0.731137
MEDIUM	0	1	0	0	6	PAPER,	-	DES/0.857148
-	0	0	0	1	1	MEDIUM	10	DES/0.998188
10	1	0	0	0	2	-	OF	QTY/0.983275
OF	0	1	1	0	2	10	100/EA	UM/0.982475
100/EA	0	0	0	0	6	OF	$	PRICE/0.965268
$	0	0	0	1	1	100/EA	1.89	DES/0.930050
1.89	1	0	0	1	4	$	.	PRICE/0.974975

# 0.337386
UNV72220	0	0	1	0	8	.	PK	ITEM/0.866933
PK	0	1	0	0	2	UNV72220	CLIPS,	UM/0.837644
CLIPS,	0	0	0	0	6	PK	PAPER,	DES/0.810090
PAPER,	0	0	0	0	6	CLIPS,	JUMBO	PRICE/0.714329
JUMBO	0	1	0	0	5	PAPER,	-	DES/0.953135
-	0	0	0	1	1	JUMBO	10	DES/0.997823
10	1	0	0	0	2	-	OF	QTY/0.981689
OF	0	1	1	0	2	10	100/EA	UM/0.982475
100/EA	0	0	0	0	6	OF	$	PRICE/0.965268
$	0	0	0	1	1	100/EA	4.95	DES/0.930050
4.95	1	0	0	1	4	$	.	PRICE/0.974975

# 0.262665
UNV10220	0	0	1	0	8	.	DZ	ITEM/0.924599
DZ	0	1	0	0	2	UNV10220	CLIPS,	DES/0.710196
CLIPS,	0	0	0	0	6	DZ	LARGE	DES/0.756816
LARGE	0	1	0	0	5	CLIPS,	BINDER	DES/0.981388
BINDER	0	1	0	0	6	LARGE	-	DES/0.977458
-	0	0	0	0	1	BINDER	12/EA	DES/0.995152
12/EA	0	0	0	0	5	-	$	PRICE/0.642920
$	0	0	0	1	1	12/EA	1.69	DES/0.893900
1.69	1	0	0	1	4	$	.	PRICE/0.963401

# 0.281913
UNV10210	0	0	1	0	8	.	DZ	ITEM/0.933126
DZ	0	1	0	0	2	UNV10210	CLIPS,	DES/0.782792
CLIPS,	0	0	0	0	6	DZ	MEDIUM	DES/0.743417
MEDIUM	0	1	0	0	6	CLIPS,	BINDER	DES/0.959087
BINDER	0	1	0	0	6	MEDIUM	-	DES/0.981774
-	0	0	0	0	1	BINDER	12/EA	DES/0.995804
12/EA	0	0	0	0	5	-	$	PRICE/0.642920
$	0	0	0	1	1	12/EA	0.68	DES/0.893900
0.68	1	0	0	1	4	$	.	PRICE/0.963401

# 0.262665
UNV10200	0	0	1	0	8	.	DZ	ITEM/0.924599
DZ	0	1	0	0	2	UNV10200	CLIPS,	DES/0.710196
CLIPS,	0	0	0	0	6	DZ	SMALL	DES/0.756816
SMALL	0	1	0	0	5	CLIPS,	BINDER	DES/0.981388
BINDER	0	1	0	0	6	SMALL	-	DES/0.977458
-	0	0	0	0	1	BINDER	12/EA	DES/0.995152
12/EA	0	0	0	0	5	-	$	PRICE/0.642920
$	0	0	0	1	1	12/EA	0.39	DES/0.893900
0.39	1	0	0	1	4	$	.	PRICE/0.963401

# 0.227891
GMT6003	0	0	1	0	7	.	BX	ITEM/0.814846
BX	0	1	0	0	2	GMT6003	COFFEE,	UM/0.868958
COFFEE,	0	0	0	0	7	BX	COLUMBIAN	DES/0.994723
COLUMBIAN	0	1	0	0	9	COFFEE,	FAIR	DES/0.999001
FAIR	0	1	0	0	4	COLUMBIAN	TRADE	DES/0.976744
TRADE	0	1	0	0	5	FAIR	K-CUPS	DES/0.995107
K-CUPS	0	0	0	0	6	TRADE	-	DES/0.720924
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.991156
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.24	DES/0.879759
12.24	1	0	0	1	5	$	.	PRICE/0.951959

# 0.252339
GMT14734	0	0	1	0	8	.	BX	ITEM/0.937260
BX	0	1	0	0	2	GMT14734	COFFEE,	UM/0.753484
COFFEE,	0	0	0	0	7	BX	GREEN	DES/0.996349
GREEN	0	1	0	0	5	COFFEE,	TEA	DES/0.951894
TEA	0	1	0	0	3	GREEN	K-CUPS	DES/0.998922
K-CUPS	0	0	0	0	6	TEA	-	DES/0.819506
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.986880
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.24	DES/0.879759
12.24	1	0	0	1	5	$	.	PRICE/0.951959

# 0.248414
GMT14737	0	0	1	0	8	.	BX	ITEM/0.938506
BX	0	1	0	0	2	GMT14737	COFFEE,	UM/0.753352
COFFEE,	0	0	0	0	7	BX	DECAF	DES/0.997580
DECAF	0	1	0	0	5	COFFEE,	GREEN	DES/0.992276
GREEN	0	1	0	0	5	DECAF	TEA	DES/0.993460
TEA	0	1	0	0	3	GREEN	K-CUPS	DES/0.999224
K-CUPS	0	0	0	0	6	TEA	-	DES/0.776930
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.986880
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.25	DES/0.879759
12.25	1	0	0	1	5	$	.	PRICE/0.951959

# 0.147497
GMT.f.C21	0	0	1	0	9	.	IoYt,9	DES/0.674587
IoYt,9	0	0	0	0	6	GMT.f.C21	BX	DES/0.622158
BX	0	1	0	0	2	IoYt,9	COFFEE,	UM/0.901561
COFFEE,	0	0	0	0	7	BX	GREEN	DES/0.986204
GREEN	0	1	0	0	5	COFFEE,	TEA/POMEGRANTED	DES/0.955041
TEA/POMEGRANTED	0	0	0	0	15	GREEN	K-CUPS	DES/0.999395
K-CUPS	0	0	0	0	6	TEA/POMEGRANTED	-	DES/0.853504
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.987455
24/EA	0	0	0	0	5	-	Si	DES/0.587300
Si	0	1	0	0	2	24/EA	$	UM/0.993360
$	0	0	0	1	1	Si	12.25	DES/0.847597
12.25	1	0	0	1	5	$	.	PRICE/0.993676

# 0.226767
GMT4061	0	0	1	0	7	.	BX	ITEM/0.803310
BX	0	1	0	0	2	GMT4061	COFFEE,	UM/0.853320
COFFEE,	0	0	0	0	7	BX	DARK	DES/0.998477
DARK	0	1	0	0	4	COFFEE,	MAGIC	DES/0.931260
MAGIC	0	1	0	0	5	DARK	K-CUPS	DES/0.998397
K-CUPS	0	0	0	0	6	MAGIC	-	DES/0.770954
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.991156
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.24	DES/0.879759
12.24	1	0	0	1	5	$	.	PRICE/0.951959

# 0.263829
GMT192919	0	0	1	0	9	.	BX	ITEM/0.779182
BX	0	1	0	0	2	GMT192919	COFFEE,	UM/0.854530
COFFEE,	0	0	0	0	7	BX	HOUSE	DES/0.995423
HOUSE	0	1	0	0	5	COFFEE,	BLEND	DES/0.982938
BLEND	0	1	0	0	5	HOUSE	K-CUPS	DES/0.997879
K-CUPS	0	0	0	0	6	BLEND	-	DES/0.878011
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.991156
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.24	DES/0.879759
12.24	1	0	0	1	5	$	.	PRICE/0.951959

# 0.254003
GMT6520	0	0	1	0	7	.	BX	ITEM/0.826490
BX	0	1	0	0	2	GMT6520	COFFEE,	UM/0.866767
COFFEE,	0	0	0	0	7	BX	BREAKFAST	DES/0.993850
BREAKFAST	0	1	0	0	9	COFFEE,	BLEND	DES/0.996355
BLEND	0	1	0	0	5	BREAKFAST	K-CUPS	DES/0.997493
